Nome,PRATO,DESC_PRATO,NOME_LOGRADOURO,NUMERO_IMOVEL,NOME_BAIRRO
Bar do Regis,Trilhas de Minas,"Almôndegas ao molho de tomates, servidas com polenta.",GAVEA,422,NOVA SUISSA
Bar do Romeu,Pé no Rabo,"Rabada com pé de porco acompanhada de farofa de abacaxi, geleia de pimenta e torradinha.",ANIRI,8,GUARANI
Bar dos Meninos,Bodas de prata,"Costelinha suína, marinada em vinho tinto, servida com mostarda em folhas, acompanhada de creme de batata.",LINDOLFO DEODORO,503,SALGADO FILHO
Bar Du Du,Porco sem vergonha,"Picadinho de carne de porco ao molho, acompanhado de um creme de batata",VIOLETA,369,ESPLANADA
Bar e Restaurante do Joãozinho,Trio Mineiro,"carne de lata bovina frita, torresmo pururuca, queijo temperado à moda da casa, molho de alho-poró.",PINHEIRO CHAGAS,295,BARREIRO
Bar Estabelecimento,Tipracas,Pelotas de rabada com angu de agrião e ‘tipracas’ de arroz com feijão (tipo bolachas).,MONTE ALEGRE,160,SERRA
Bar Junto Juntinho,Poliamor Culinário,"Costelinha de porco combinada com um purê de mandioca feito com manteiga de garrafa e queijo parmesão, acompanhado de couve crispy e geleia de abacaxi apimentada.",CURA D'ARS,542,PRADO
Bar Mania Mineira,Explosão de Sabor,Bolinho de mandioca recheado com queijo.,PARACATU,1099,SANTO AGOSTINHO
Bar Pompéu,É mas num é,"Iscas de filé de frango empanadas nos flocos de arroz, regado ao molho de alho-poró e cream cheese. Acompanha batata frita canoa e molho agridoce de goiabada.",SAO MIGUEL,779,ITAPOA
Bar Stella,Boi bebum,"Maçã de peito ao molho de vinho, acompanhada de farofa d’água e mandioca na manteiga de garrafa.",SARAMENHA,1599,GUARANI
Bar Temático Santa Tereza,#CDB – 25 anos de sucesso – Arrumado,"carne de sol, feijão-de-corda, farofa e vinagrete e manteiga de garrafa.",PIRITE,187,SANTA TEREZA
Barrigudinha Buteco,Bodas no prato,Rib ao molho Rubi: Costelinha de porco ao molho rubi.,DOS ENGENHEIROS,1071,ALIPIO DE MELO
Barzin dos amigos,Porpeta de Buteco,Almôndegas ao sugo com batata recheada.,LINDOLFO DE AZEVEDO,1263,JARDIM AMERICA
Bazin Bar,Bodas de Prata,Carne de panela acompanhada de angu e ora-pro-nóbis.,OROZIMBO NONATO,1053,DONA CLARA
Beco Restaurante,Lá di Casa,"Carne bovina cozida na panela de pressão e reduzida no molho à base demi glace. Acompanha nosso creme de mandioca caseira, farofa crocante de panko e crispy de couve.",TAMOIOS,232,CENTRO
Benjamin Bar,Boizinho no milharal,"Costela bovina regada no molho roti, acompanhada de quirera de milho com queijo canastra meia cura e milho verde cozido.",CORONEL JOSE BENJAMIM,770,PADRE EUSTAQUIO
Boteco 86,Bolinho Nordestino,Bolinho de aipim com carne seca e requeijão.,JACARINA,86,PADRE EUSTAQUIO
Botequim Buritis,Butequeiro 25,"Lombinho suíno na lata, acompanhado de mandioquinha frita ao molho cremoso raiz.",VITORIO MAGNAVACA,39,BURITIS
Botequim de Lourdes,Rocambole de torresmo,"Torresmo de barriga marinado na cachaça, servido com palitinhos de tapioca e geleia de abacaxi com pimenta e canela.",CURITIBA,2039,LOURDES
Buteco do Lili,Sabores de Prata,"Fraldinha de panela ao molho roti, acompanhada de batata ao murro e pães de queijo fritos.",LIBERO BADARO,493,SANTA ROSA
Buteco do Rod,Canela de Butequeiro,"Cambito suíno ao molho de cerveja preta, acima de uma polenta temperada com páprica defumada e espinafre, acompanhado de farofa panko com bacon, finalizado com queijo gouda derretidinho.",JOSE MOURA PECANHA,12,OURO PRETO
Buteco Tô D’Boa,Paleta Suína Mineira,"Paleta suína marinada com molho especial e cerveja preta, acompanhada de farofa de bacon crocante, banana-da-terra caramelizada e finalizada com cheiro-verde.",VIRGILIO DE MELO FRANCO,400,SANTA AMELIA
Buteco’s Bar,Nuuuu… Quebrou Minha Costelinha,"Porpeta de costelinha com bacon assada, recheada com queijo minas, regada ao molho roti, em cama de canjiquinha, acompanhada de quiabo e molho pesto de couve e coentro.",ERNESTO BRAGA,2,JARDIM ATLANTICO
Butiquim On Cê Tá?,Almôndega da Mamma Tereza,"Almôndega ao molho de tomate, recheada com queijo. Acompanha rodelas de pão francês.",GEN. OLIMPIO MOURAO FILHO,754,ITAPOA
Café Bahia,Trupiquei na Bahia,"Defumados de porco e carne de sol no feijão-vermelho, pelinha crocante, polentinha mineira e mostarda refogada.",TUPIS,369,CENTRO
Café Palhares,Polpeta de Berinjela com Dois Queijos,"Polpetas de berinjela com queijo parmesão, muçarela, manjericão e salsinha. Servidas com pasta de grão-de-bico.",DOS TUPINAMBAS,638,CENTRO
Camisola Bar,Costela Mineira,"Costela de boi cozida na cerveja preta, acompanhada com um purê de mandioca com queijo.",LUTHER KING,242,CIDADE NOVA
Canela Amarela,Bola na Rede,"Almôndegas bovinas sobre a cama de creme de queijos, acompanhadas de torradas de pão de alho e finalizada com tomatinho e manjericão. Acompanha molho da casa.",PRACA LEONARDO GUTIERREZ,195,GUTIERREZ
Cantina Arte Quintal,Fraldinha Assada na Cachaça e Cerveja,"Fraldinha assada flambada na cachaça e cerveja com calda de maracujá, farofa de alho-poró e banana frita curtida ao bacon.",REALENGO,150,PADRE EUSTAQUIO
Cantinho da Baiana,Mineirou nos 25,"Tiras de galeto, envoltas em casquinha crocante de queijo parmesão. Acompanhados por creme de bacon crispy.",ITAITE,422,SAO GERALDO
Casa da Madrinha,Bem Mineiro,Polenta crocante com ragu de frango com quiabo e o toque inconfundível do queijo minas.,BARBACENA,212,BARRO PRETO
Cervejaria Pajé,Xukuru Kariri,"Amassado de mandioca amarela, temperada e recheada com bacon e queijo, acompanhado de calda de abacaxi ‘smooth Cayenne’ e molho ‘Buffalo’ picante.",CAPIM BRANCO,419,VISTA ALEGRE
Chapa Mágica,Incangado de Inhame com Bacon Dona Biu,Purê de inhame com bacon.,WALDOMIRO LOBO,305,AARAO REIS
Choperia América Norte Sul,Tira Gosto Escondido,"Pastel recheado com carne bovina defumada e desfiada, muçarela, palmito, cebola, azeitona, requeijão. Acompanha molho da casa e salada de agrião e tomate.",CHICO REI,190,ESTRELA DO ORIENTE
Chopp da Esquina,Rolê do Chopp,"Bife a rolê, acompanha farofa de torresmo.",GARRET,263,NOVA GRANADA
Companhia do Dino,Barriga do Dino,Barriga frita com geleia de pimenta e mandioca na manteiga de garrafa.,JOAQUIM CLEMENTE,682,FLORAMAR
Conectados Bar,Ajoelhou vai ter que Rezar,"Cozido de joelho de porco e pernil com especiarias, servido sobre creme de mandioca ao alho, acompanhado de farofa de milho amanteigado e banana-da-terra.",FRANCISCO SA,280,PRADO
Cosmos,Meteoro,"Explosão de Sabores – Tiras de picanha, alcatra e maminha ao molho de cerveja preta, com batata tipo chips e creme de alho.",VICENTE RISOLA,1305,SANTA INES
Deck Boi na Brasa,Tulipa do Cheff,"Tulipas de frango assadas na brasa, envolvidas em um molho agridoce da casa com um toque de goiabada, servidas com minibatatas rústicas e banana-da-terra mini fritas, regadas ao molho de ervas.",DESEMBARGADOR JOSE SATYRO,302,CASTELO
Dona Dora,Boleco,"Bolo di Buteco – Purê rústico de mandioca com ragu de alcatra, fonduta de queijo canastra e crispy de couve.",RIO DE JANEIRO,1205,CENTRO
Dona Ju Gastro Bar,Jú-Elhoo,"Joelho de porco marinado em especiarias, cozido na cerveja e acompanhado de angu de milho verde e couve passada no azeite. E ambrosia de sobremesa para comemorar os 25 anos do CDB.",ESTRADA DOS BORGES,1520,JARDIM VITORIA
Dona Suica,Prata da Casa,"Sobrecoxa desossada e assada, polenta de milho verde com bacon e queijo e farofinha com quiabo grelhado.",JOAO SAMAHA,390,SAO JOAO BATISTA
Ember BBQ,Cupim Sertanejo,"Cupim defumado em lenha de macieira. Servido sobre angu de milho verde com queijo minas, acompanhado de couve crispy e pimenta jalapeño.",SAO ROMAO,460,SANTO ANTONIO
Espetinho do Boi,Brigadeiro de Boi,Almôndega selada no forno com cobertura de queijo e salpicada com torresmo ao molho especial.,SAO PAULO DA CRUZ,357,BARREIRO
Espetinhos do Paulão,Vaca Faladeira,"Língua de boi recheada com bacon e cenoura ao molho madeira. Acompanha dois minipães italianos recheados com vinagrete de tomate, cebola temperada com chimichurri de limão e azeite, com muçarela gratinada e manjericão desidratado.",ALVARO MATA,466,NOVA CACHOEIRINHA
Espettinho.com,Mineirinho Gratinado,Almôndegas suínas gratinadas com molho de tomate caseiro e muçarela. Acompanha 1 Espetinho de ‘Sacanagem’ e um licor de doce de leite de entrada.,ELI SEABRA FILHO,510,BURITIS
Fogão de Minas,Tropa de Elite,Petisco de tropeiro.,DOUTOR CRISTIANO GUIMARAES,1911,PLANALTO
Garagge Vintage,Bão Também,"Maminha cozida marinada no vinho tinto, servida com molho madeira, acompanhada de purê de abóbora moranga com bacon frito triturado e chips de massa de lasanha.",DOUTOR CRISTIANO GUIMARAES,1258,PLANALTO
Geraldin da Cida,"Sô Mineiro, Uai",Alcatra com farofa de jiló com bacon. Acompanha uma sobremesa de doce de leite com castanha e bacon.,CONTRIA,1459,GRAJAU
Golden Grill,Costelão dos Deuses,"Costelão de boi marinado em ervas finas acompanhado de purê de mandioca aligot, farofa crocante e molho agridoce especial.",AMILCAR CABRAL,515,MILIONARIOS
Iracema bar,Harumaki de Carne de Panela,"Harumaki, também conhecido como rolinho primavera, recheado com uma carne de panela cozida com especiarias. Servido com um molho agridoce e picante.",ALMANDINA,56,SANTA TEREZA
Ivo Grill,Kafajeste,"Kafta defumada na brasa harmonizada com sour cream, geleia de pimentas vermelhas e cebola em tiras crocantes.",PROFESSOR TRISTAO DA CUNHAS,183,PLANALTO
Já To Inno,Moderação,"Kafta de lata, acompanhada de caponata de tomate com bacon e linguiça regados com angu à moda da casa gratinado com queijo.",BENJAMIM DIAS,379,BARREIRO
Juzé Bar,Macaxeira no Buraco Quente com Sabor de Quero,"Carne cozida desfiada ao molho, servida na panhoca, acompanhada de macaxeira cozida na manteiga de garrafa ao alho e cebola caramelizada.",CARLOS SA,180,SANTA AMELIA
Koqueiros Bar,"Duvidei, mas Ameii","Berinjela empanada e frita servida ao molho à bolonhesa em uma cama de requeijão cremoso, coberta de muçarela. Acompanha pasteizinhos de vento da casa.",SILVIANO BRANDAO,1293,SAGRADA FAMILIA
Köbes Emporium Bar,Asas da Imaginação,"Asas de porco com molho à moda da casa, sobre purê de batata com açafrão.",PROFESSOR RAIMUNDO NONATO,31,SANTA TEREZA
Lá Ele Bar,Peitin Moído,"Maçã de peito cozida com legumes, acompanhada de farofa da casa, LAELEgrete e pão.",AV. GENERAL CARLOS GUEDES,165,PLANALTO
Leo da Quadra,Lembe os Beiço,"Bisteca bovina, acompanhada de pirão e torradas.",OLIVEIRA LISBOA,107,BARREIRO
Locomotivas Bar,CUPIM,"Embriagado e trouxa – Trouxinha recheada com cupim marinado na cachaça e queijo canastra, acompanha maionese de alho.",CARMESIA,568,SANTA INES
Magnifico Quintal,Cocoricó,"Frango assado com molho, batata recheada e pepino agridoce.",JEFFERSON DE OLIVEIRA,56,SANTA AMELIA
Magrelo`s bar,Amigos do Peito,"Maçã de peito marinada em vinho tinto com ervas aromáticas, servida com polenta cremosa gratinada com queijo canastra e bolinhos de aipim, acompanhados de aioli de rúcula fresco.",SERRANA,635,SERRANO
Mamute Bar,C Tá de Parabéns,"Bife rolê recheado com cenoura e carne de linguiça acompanhado de batata sauté, couve crispy e farofa da vovó.",BRAS CUBAS,116,CRUZEIRO
Marina’s Bar,Estrem Voai,"Asinha de frango frita, marinada na laranja e ervas, coberta de queijo muçarela, acompanhada com creme de alho-poró e gengibre picante e fritas.",JOSE BARONI,13,PARAISO
Mineiros Beer,Costela de Romeu e Julieta,"Costelinha suína assada lentamente, servida com molho de queijo canastra, barbecue de goiabada e farofa torrada.",ROMUALDO LOPES CANCADO,399,CASTELO
Mulão,Mullé do Mulão,"Chã de fora recheada com calabresa no molho de cebola caramelizada no açúcar queimado. Acompanha purê de batatas, pimenta-biquinho, cebolinha.",MARAMBAIA,291,CAICARA
Nosso Spetim,Língua de Dois Amores,"Língua ao molho madeira, com fatia de pães e um espetinho de medalhão de batata recheada com queijo minas acompanhado de geleia biquinho.",DOS ASTECAS,3219,SANTA MONICA
O Fino do Alho,SôdaTerra,"Carne de panela, temperada com especiarias, acompanhada de mandioca cozida no suco de beterraba e açafrão, finalizada com crispy de bacon e banana-da-terra.",CAPITAO SERGIO PIRES,41,MINASCAIXA
Parada 10.95 Bar,Parada Holandesa,Uma adaptação do tradicional prato belgo-holandês carbonnade flamande. Carne bovina marinada na cerveja e cozida lentamente. Acompanha purê de mandioca e batata crocante.,DOS ENGENHEIROS,1095,ALIPIO DE MELO
Parada Do Sabor,Coração do Parada,"Coração de boi recheado com: bacon, linguiça, cenoura. Acompanha farofa, batata bolinha assada e molho glace.",GENERAL CARLOS GUEDES,346,PLANALTO
Pé de Cana,É PRAAATA!!!É PRAAAATA!!,"Bolo suíno recheado de queijo, acompanhado de molho de tomate, cobertura de muçarela e “confetes” de tomate, batatinha e cebola assadas.",FLORIDA,15,SION
Pé de Goiaba,Bodas de Prata – 25 ANOS JUNTOS,"Lombo com queijo ao molho de abacaxi picante, farofa de bacon, torresminho à pururuca e couve.",AMAZONAS,4676,NOVA SUISSA
Planeta Lúpulo,Cestinha das Gerais,"Cestinhas de massa de pastel, recheadas com aligot de batata e queijo, coberta com fraldinha cozida na cerveja. E biscoitos de queijo (da vovó) para acompanhar.",GUARAPARI,108,SANTA AMELIA
PoiZé Bar e Petisqueira,Aparecidinho do Zé,Versão desconstruída do escondidinho. Creme de moranga com carne do sertão e cebola. Acompanha molho de cebola roxa.,PIUM-I,686,CARMO
Prado Beer,Amontadinho,"Angu com carne de panela, chips de jiló e molho à base de milho e cachaça.",FRANCISCO SALES,590,PRADO
Prosa Boa,Roendo até os ossos,"Costela bovina braseada, acompanhada de batatinhas temperadas, antepasto de azeitonas e tomatinhos e farofa crocante de bacon.",DOUTOR CRISTIANO GUIMARAES,1480,PLANALTO
Quinteiro Bar e Restaurante,Vou comer seu bolo,"Massa de fubá com queijo, patinho desfiado com molho, tartar de tomate e cream cheese caseiro temperado.",SALINAS,1008,FLORESTA
Quioxque Botequim Carioca,Estamos de Parabéns,"Bolo de mandioca com carne-seca com cobertura de cebola caramelizada e fonduta de queijo, servido com pelinha de costelinha com toque de limão.",HENRIQUE BADARO PORTUGAL,157,BURITIS
"QUÊ SÉ QUÉ! – Disco de carne recheada com provolone, acompanhado de molhos especiais da casa.",,,ALABASTRO,146,SAGRADA FAMILIA
Trem Bão Sô! – Maçã de peito acompanhada de purê de moranga e farofa da casa.,,,ISABEL BUENO,1100,SANTA ROSA
Recanto Vovó Tela,DE “25” 10 TMJ,"Picanha suína assada, marinada em limão pepper e páprica picante, acompanhada de minicebola empanada, farofa de ervilha e chutney de abacaxi com pimenta-dedo-de-moça.",TENENTE MARINO FREIRE,270,MARIA HELENA
Regis Bar,Trio parada dura,Costelinha ao molho de abacaxi com mandioca e cebola.,VINTE E OITO DE SETEMBRO,872,ESPLANADA
Rei do Peixe,Bolinhos Bodas de Prata,"Bolinho de tilápia recheado com tilápia e queijo, acompanhado com molho verde e geleia de pimenta.",RAMALHO ORTIGAO,735,SANTA BRANCA
Resenha da Naty,TREM BÃO DEMAIS SÔ,"Bolinho de linguiça suína, recheado de muçarela e um toque de limão para finalizar.",GONCALVES LEDO,288,CACHOEIRINHA
Restaurante Jorge Americano,Rabada do Jorge Americano,"Rabada ensopada, servido com batata bolinha. Acompanhada de farofa de torresmo e vinagrete de agrião.",AUGUSTO DE LIMA,744,CENTRO
S.O.S PUB,Socorro do Mineiro,"Enroladinho de sururu com batata, enroladinho de lombo de porco com abacaxi cozido, enroladinho de feijoada e um miniempadão de frango e pernil com linguiça molhadinho. Todos acompanhados pelo molho especial da casa.",PADRE JOSE MAURICIO,1126,VISTA ALEGRE
Santa Boemia,Sextou BB!,"Bolinhos de feijoada, recheados com calabresa e couve, acompanhados de torresminho pururuca, vinagrete da casa, laranja e uma dose de cachaça.",MARMORE,534,SANTA TEREZA
Santuário Retrô,Presentim Retrô,"Trouxinhas de lombo suculento, marinado por 12 horas no tempero da casa com especiarias, envolto em fatias de bacon e recheado com surpresas inspiradas nos ingredientes das edições históricas do Comida di Buteco",PADRE VIEIRA,150,ALTO CAICARAS
Seu Braz,Contra filet flambado na cachaça,"Contrafilé flambado na cachaça ao creme, acompanhado de mandioca na manteiga de garrafa com queijo gratinado e bacon crocante.",PORTUGAL,4325,ITAPOA
Silvio’s Bar,Frangônia,"Coxinha da asa de frango empanada, acompanha batata rústica e molho parmesão e ervas.",BEGONIA,199,ESPLANADA
Sinhá Erozitha Bistrôteco,"Êêêê, lasqueira!!!",Panturrilha suína no seu molho com legumes grelhados.,SANTO AMARO,257,SAGRADA FAMILIA
Sô Bar,Sô o Mio,"Maçã de peito com batatas cozidas, farofa de torresmo e espetinho de torresmo de barriga com pimenta agridoce.",ALTAMIRO AVELINO SOARES,426,CASTELO
Spetim,Tá na boca do povo,"Língua de boi, fatiada bem fininha, num encorpado molho de tomate e manjericão, acompanhada por um mineiríssimo angu de moinho d’água e mostarda passadinha na panela.",ILACIR PEREIRA LIMA,518,SILVEIRA
Tanganica Art Bar,Vegano colorido,"Kibes de beterraba recheados com requeijão vegano, fuxicos de inhame com alho poró, pasteizinhos com recheio de chimeji preto e croquetinhos de abóbora vermelha recheados com ora-pro-nóbis.",PADRE DEMERVAL GOMES,380,CORACAO EUCARISTICO
The Butcher,Panela de Prata – 25 anos,"Versão do goulash, prato típico húngaro, mas com toque mineiro. Carne ensopada com fatias de pão.",RESSACA,353,CORACAO EUCARISTICO
Toca do Ogro,Ripa de Prata,Picolé Mineiro – Costelinha suína com pele e osso. Acompanhada de purê de mandioca e crispy de couve.,PROFESSOR NELSON DE SENA,4,AEROPORTO
Toninho – Alto Forno,Joelho da Lili,"Joelho de porco ao molho da Lili, acompanhado de polenta com queijo frita e farofa de Neston.",MIRACEMA,100,SANTO ANDRE
Tropeiro do Lisboa,Caldeirão do Mignon,"Filé-mignon selado, acompanhado de batatas rústicas ao molho da casa.",LEONTINO FRANCISCO ALVES,506,SERRA VERDE (VENDA NOVA)
Us Motoca,Bodas de Prata,"Polpetas de carne recheadas com queijo, servido sobre aligot de batata e molho de tomates rústico, gratinado e guarnecido de crispy de jiló e picles de cebola-roxa.",BLENDA,91,CAMARGOS
Xambar,Mineirin Oriental,"Miolo de acém assado na pressão, acompanhado de mandioca cozida na manteiga e farofa de banana.",AUGUSTO DE LIMA,233,CENTRO
Xico da Kafua,Pé na areia,"Mão suína, acompanhada de farofa crocante de soja tostada com farinha de biju e torradas com azeite.",ITAU,1195,JOAO PINHEIRO
Xico do Churrasco,Xico Balaio,Asinhas de frango com provolone com tempero.,AV ALTAMIRO AVELINO SOARES,920,CASTELO
Zé Bolacha,Rabicó,"Bolinho de costelinha desfiada com requeijão e muçarela, empanada no panko com molho de laranja e mel.",DAS MELANCIAS,35,VILA CLORIS
Zoo Bar,Atualização,O bar Boogie Oogie não irá mais participar da 25ª edição do Comida Di Buteco como informado anteriormente pela instituição.,OTACILIO NEGRAO DE LIMA,7844,BANDEIRANTES
